dataset,method,accuracy,train_time_seconds,infer_time_seconds
Fashion-MNIST,Baseline (Raw Data),0.921500027179718,654.4081282615662,11.896770477294922
Fashion-MNIST,PCA (64) + CNN,0.8851000070571899,628.958856344223,9.841995477676392
Fashion-MNIST,PCA (128) + CNN,0.9039000272750854,658.1717901229858,11.762020111083984
CIFAR-10,Baseline (Raw Data),0.7537000179290771,695.6938991546631,9.870870351791382
CIFAR-10,PCA (64) + CNN,0.5679000020027161,706.8783583641052,12.436484098434448
CIFAR-10,PCA (128) + CNN,0.6388000249862671,691.8808658123016,8.626723051071167
CIFAR-100,Baseline (Raw Data),0.4431999921798706,755.3550925254822,8.443310737609863
CIFAR-100,PCA (64) + CNN,0.31299999356269836,708.3157184123993,10.227631330490112
CIFAR-100,PCA (128) + CNN,0.34860000014305115,692.1299467086792,9.140291929244995
